Name,Display Name,Type,Class,Is Lot Numbered Item,Inactive,UPC Code,Weight,Item Weight (Kg),Length,Height,Width,Package Quantity,Master Carton Weight (lbs),Master Carton Length (in),Master Carton Width (in),Master Carton Height (in),Master GTIN #,Harmonized Product Code,Manufacturer Country
ES0290-04,"SELECTRA - CP, HIGH WAIST W/SILICONE, BLACK - XXS/XS",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,No,,,,,,,,,,,,,,CN
ES0290-05,"SELECTRA - CP, HIGH WAIST W/SILICONE, BLACK - S/M",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,No,,,,,,,,,,,,,,CN
ES0290-06,"SELECTRA - CP, HIGH WAIST W/SILICONE, BLACK - L/XL",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,No,,,,,,,,,,,,,,CN
ES0295-01,"SELECTRA - CP, HIGH WAIST COMPRESSION ONLY, ALL SIZES/ALL COLORS, RAW",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,No,,,,,,,,,,,,,,CN
ES0300-01,"UNITED PHARMA-PRENATAL COMPLETE, SOFT-GEL CAPSULE, 60 CT, 175CC WHITE HDPE BOTTLE",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,US
ES0305-01,"ABOX - MILKFLOW BERRY SACHET CARD PROMOTION + LABOR, 4X6, 2 SIDED, SBS 0.10 C2S, 4CP + AQ, GLUE STRIP APPLIED",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,No,,,,,,,,,,,,,,US
ES0310-01,"ANC - HYDRATION,  DRINK MIX, CITRUS GINGER,14 PACKET, PRODUCTION & PACKAGING, CONSIGNMENT BUILD",Inventory Item,,No,Yes,,,,,,,,,,,,,,US
ES0310-02,"ANC - HYDRATION,  DRINK MIX, LEMON LIME, 14 PACKET, PRODUCTION & PACKAGING, CONSIGNMENT BUILD",Inventory Item,,No,Yes,,,,,,,,,,,,,,US
ES0310-03,"ANC - HYDRATION,  DRINK MIX, CITRUS GINGER, PRODUCTION & BULK STICK-PACK PACKAGING, CONSIGNMENT BUILD",Inventory Item,,No,Yes,,,,,,,,,,,,,,US
ES0310-04,"ANC - HYDRATION,  DRINK MIX, LEMON LIME, PRODUCTION & BULK STICK-PACK PACKAGING, CONSIGNMENT BUILD",Inventory Item,,No,Yes,,,,,,,,,,,,,,US
ES0315-01,"ANC - FERTILITY EGGS COMPONENTS, RAW INGREDIENTS-ALPHA LIPOIC ACID, GLUTATHIONE, RICE HULLS",Inventory Item,,No,Yes,,,,,,,,,,,,,,US
ES0320-01,"ANC - FERTILITY NEST, COLLAGEN, DRINK MIX, SINGLE SACHET",Inventory Item,,No,Yes,,,,,,,,,,,,,,US
ES0325-01,"ABOX -  HYDRATION, DRINK MIX, AMAZON SAMPLING PROMOTION LABOR & BULK PACKAGING",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,No,,,,,,,,,,,,,,US
ES0330-01,"A&M LABS - FERTILITY EGGS,  CAPSULES, 60 COUNT, PRODUCTION & BULK PACKAGING, CONSIGNMENT BUILD",Inventory Item,UpSpring : VMS : Adult Supplements : Fertility,No,Yes,,,,,,,,,,,,,,US
ES0335-01,"SELECTRA - C-PANTY, POST OP MEDICAL, CESAREAN RECOVERY (XS/S), RAW",Inventory Item,,No,Yes,,,,,,,,,,,,,,
ES0335-02,"SELECTRA - C-PANTY, POST OP MEDICAL, CESAREAN RECOVERY (M/L), RAW",Inventory Item,,No,Yes,,,,,,,,,,,,,,
ES0335-03,"SELECTRA - C-PANTY, POST OP MEDICAL, CESAREAN RECOVERY (XL/1X), RAW",Inventory Item,,No,Yes,,,,,,,,,,,,,,
ES0335-04,"SELECTRA - C-PANTY, POST OP MEDICAL, CESAREAN RECOVERY, (2X/3X) RAW",Inventory Item,,No,Yes,,,,,,,,,,,,,,
ES0340-01,"CATALENT - MILKFLOW CHEW, CHOCOLATE RASPBERRY, 28 COUNT, PRODUCTION & PACKAGING, CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Milkflow - Other,No,No,,,,,,,,,,,,,,US
ES0340-02,"CATALENT - MILKFLOW CHEW, BERRY, 28 COUNT, PRODUCTION & PACKAGING, CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Milkflow - Other,No,No,,,,,,,,,,,,,,US
ES0440-01,"CATALENT - STOMACH SETTLE LG HARD DROP 28 CT ORANGE POUCH, 4up MASTER, CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Adult Supplements : (Old) Stomach Settle,No,No,,,,,,,,,,,,,,
ES0440-02,"CATALENT - STOMACH SETTLE MINT HARD DROP 28 CT POUCH, 4up MASTER, CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Adult Supplements : (Old) Stomach Settle,No,No,,,,,,,,,,,,,,
ES0440-03,"CATALENT - STOMACH SETTLE LG HARD DROP 10 CT ORANGE POUCH, 8up MASTER, CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Adult Supplements : (Old) Stomach Settle,No,No,,,,,,,,,,,,,,
ES0440-04,"CATALENT - STOMACH SETTLE MORNING SICKNESS LG HARD DROP 28 CT WHITE POUCH, 4up MASTER, CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Adult Supplements : (Old) Stomach Settle,No,No,,,,,,,,,,,,,,
FB0001-01,"KIT: MilkFlow, Supplement, 18-Packet, Berry Drink Mix, 2-Pack - FG0070-01 (FBM Orders Only)",Kit/Package,Legacy UpSpring : (Old) Adult Supplements,No,No,855520001651,1.1,,,,,1,,,,,,,
FB0001-01-FBA,"BUNDLE: MilkFlow, Supplement, 18-Packet, Berry Drink Mix, 2-Pack - FG0070-01 (FBA Packaging Only)",Assembly/Bill of Materials,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,Yes,Yes,855520001651,1.1,,,,,1,1.1,,,,,5423.10.0010,
FB0001-01a,"MilkFlow, Supplement, 18P, Berry Drink Mix, 2-Pack",Kit/Package,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,855520001651,1.1,,,,,,,,,,,5423.10.0010,
FB0001-02,"KIT: MilkFlow, Supplement, 18P, Chocolate Drink Mix, 2-Pack - FG0070-03 (FBM Orders Only)",Kit/Package,Legacy UpSpring : (Old) Adult Supplements,No,No,855520001194,1.5,,,,,1,,,,,,,
FB0001-02-FBA,"BUNDLE: MilkFlow, Supplement, 18P, Chocolate Drink Mix, 2-Pack - FG0070-03 (FBA Packaging Only)",Assembly/Bill of Materials,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,Yes,Yes,855520001194,1.5,,9.2,9.2,6.2,1,,,,,,5423.10.0010,
FB0001-02a,"MilkFlow, Supplement, 18P, Chocolate Drink Mix, 2-Pack",Kit/Package,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,855520001194,0,,,,,,,,,,,5423.10.0010,
FB0001-03,"KIT: MilkFlow, Supplement, 18P, Berry - FG0070-01 & Chocolate Drink Mix - FG0070-03, 2-Pack (FBM Orders Only)",Kit/Package,Legacy UpSpring : (Old) Adult Supplements,No,No,859188006904,1.3,,,,,1,,,,,,,
FB0001-03-FBA,"BUNDLE: MilkFlow, Supplement, 18P, Berry - FG0070-01 & Chocolate Drink Mix - FG0070-03, 2-Pack (FBA Packaging Only)",Assembly/Bill of Materials,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,Yes,Yes,859188006904,1.3,,9.2,9.2,6.2,1,,,,,,5423.10.0010,
FB0005-01,"MilkMulti, Postnatal Vitamin, 21P, Orange Drink Mix, 2-Pack",Assembly/Bill of Materials,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,Yes,Yes,855520001668,1.1,,,,,,,,,,,5423.10.0010,
FB0005-01a,"MilkMulti, Postnatal Vitamin, 21P, Orange Drink Mix, 2-Pack",Kit/Package,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,855520001668,1.1,,,,,,,,,,,5423.10.0010,
FB0010-01,"Bundle: UpSring Baby, D3, 2-Pack",Assembly/Bill of Materials,Legacy UpSpring : (Old) Child Supplements,Yes,Yes,855520001866,.33,,,,,1,,,,,,,
FB0010-01a,"Wellbaby, D3, 2-Pack",Kit/Package,Legacy UpSpring : (Old) Child Supplements,No,Yes,855520001866,.33,,,,,,,,,,,,
FB0015-01,"Milkflow, Fenugreek, Shooter, 2oz Bottle, Chocolate, 9-Pak",Assembly/Bill of Materials,Legacy UpSpring : (Old) Milkflow,Yes,Yes,859188006164,.33,,,,,,,,,,,,US
FB0020-01,"Bundle: UpSpring, Nipple Balm, 2-Pack",Assembly/Bill of Materials,Legacy UpSpring : (Old) Breastfeeding,Yes,Yes,859188006478,.42,,2.7,4.5,4,1,.45,,,,,,
FB0025-01,"Bundle: UpSpring, Bamboo High-Waist Boyshort, 4-SM & 2-LXL",Assembly/Bill of Materials,Legacy UpSpring : (Old) Charcoal Fusion,No,Yes,859188006546,2.5,,7.25,5.5,10.25,1,2.5,7.25,10.25,5.5,,,
FB0025-01(OLD),"Bundle: UpSpring, Bamboo High-Waist Boy Shorts, 4-SM & 2-LXL",Assembly/Bill of Materials,Legacy UpSpring : (Old) Charcoal Fusion,Yes,Yes,859188006546,2.5,,7.25,5.5,10.25,,2.5,,,,,,
FB0030-01,"Bundle: UpSpring, BumpTube, Maternity Band, 4-SM & 2-LXL",Assembly/Bill of Materials,Legacy UpSpring : (Old) Skincare_Other,No,Yes,859188006553,1.5,,7.25,5.5,10.25,1,1.5,7.25,10.25,5.5,,,
FB0030-01(OLD,"Bundle: UpSpring, BumpTube, Maternity Band, 4-SM & 2-LXL",Assembly/Bill of Materials,Legacy UpSpring : (Old) Skincare_Other,Yes,Yes,859188006553,1.5,,7.25,5.5,10.25,,1.5,,,,,,
FB0035-01,"Bundle: UpSpring, Coconut Oil, 2-Pack",Assembly/Bill of Materials,Legacy UpSpring : (Old) Skincare_Other,Yes,Yes,859188006591,1.05,,2.7,4.5,4,1,.45,,,,,,
FB0040-01,"Bundle: UpSpring, Milkflow Capsules, 100 Cnt, Bottle, 2-Pack",Assembly/Bill of Materials,Legacy UpSpring : (Old) Milkflow,Yes,Yes,859188006744,1.05,,2.7,4.5,4,1,.45,,,,,,
FB0040-02,"KIT UpSpring, Milkflow Capsules, 100 Count, Bottle Only, 2-Pack - FG0120-03 (FBM Orders Only)",Kit/Package,Legacy UpSpring : (Old) Adult Supplements,No,No,859188006911,.28,,,,,1,,,,,,,
FB0040-02-FBA,"BUNDLE: UpSpring, Milkflow Capsules, 100 Count, Bottle Only, 2-Pack - FG0120-03 (FBA Packaging Only)",Assembly/Bill of Materials,Legacy UpSpring : (Old) Milkflow,Yes,Yes,859188006911,1.05,,2.7,4.5,4,1,.45,,,,,,
FB0045-01,"Bundle: MF, Cookie, Display Tray, Double Chocolate",Assembly/Bill of Materials,Legacy UpSpring : (Old) Milkflow,Yes,Yes,10859188006659,1,,,,,2,2.15,9.25,7.25,5.75,40855520001475,2106.90.9887,
FB0045-02,"Bundle: MF, Cookie, Display Tray, Oatmeal Raisin",Assembly/Bill of Materials,Legacy UpSpring : (Old) Milkflow,Yes,Yes,10859188006666,1,,,,,2,2.15,9.25,7.25,5.75,40855520001475,2106.90.9887,
FB0050-01,"Bundle: MF 18P, Chocolate, 2Pk & UpSpring Shaker Bottle",Assembly/Bill of Materials,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,Yes,Yes,859188006775,2.1,,2.7,4.5,4,1,.45,,,,,,
FB0060-01,"KIT: Stomach Settle, Lemon Ginger, 28 Count, 2-Pack (FBM Orders Only)",Kit/Package,Legacy UpSpring : (Old) Adult Supplements,No,No,859188006966,.28,,,,,1,,,,,,,
FB0060-01-FBA,"Bundle: Stomach Settle, Lemon Ginger, 28 Count, 2-Pack (FBA ONLY)",Assembly/Bill of Materials,Legacy UpSpring : (Old) Adult Supplements : (Old) Adult Supplements - Other,Yes,Yes,859188006966,.55,,,,,1,.76,,,,,,
FB0065-01,"Bundle: SBBC, S/M & SHX Hips, Black, XS/S",Assembly/Bill of Materials,,No,Yes,850008560026,1.47,,,,,,,,,,,,
FB0075-01,FB0075-01 Trimester Bundle: Prenatal Complete 3pk,Kit/Package,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,1.05,,,,,1,,,,,,,
FB0075-02,Bundle: Prenatal Complete 3pk / Dual Prenatal Immunity 3pk,Kit/Package,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,1.46,,,,,1,,,,,,,
FB0080-01,Bundle: Breastfeeding Starter Pack,Kit/Package,,No,Yes,,1.01,,,,,1,,,,,,,
FB0085-01,Bundle: Fertility / Henatal / Prenatal Complete,Kit/Package,Legacy UpSpring : (Old) Adult Supplements,No,Yes,850008560132,.89,,,,,1,,,,,,,
FB0090-01,Bundle: Fertility / HeNatal,Kit/Package,,No,Yes,850008560354,.54,,,,,,,,,,,,
FB0095-01,Bundle: Prenatal Complete / Prenatal Immunity,Kit/Package,,No,Yes,850008560361,.49,,,,,,,,,,,,
FB0100-01,Bundle: Vitamin D3 / Probiotics + Colostrum,Kit/Package,,No,Yes,850008560378,.19,,,,,,,,,,,,
FB0105-01,Bundle: Milkscreen / Drink Mix Berry,Kit/Package,,No,No,850008560385,.56,,,,,,,,,,,,
FB0110-01,Bundle: Milkscreen / Drink Mix Choc,Kit/Package,,No,No,850008560392,.71,,,,,,,,,,,,
FB0115-01,KIT: Trimester Bundle 2,Kit/Package,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,.49,,,,,1,,,,,,,
FB0120-01,KIT: Breastfeeding Pack 2,Kit/Package,Legacy UpSpring : (Old) Adult Supplements,No,No,,1.15,,,,,1,,,,,,,
FB0125-01,KIT: Baby Shower Bundle,Kit/Package,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,.75,,,,,1,,,,,,,
FB0125-02,KIT: Baby Shower Bundle,Kit/Package,Legacy UpSpring : (Old) Adult Supplements,No,No,,.75,,,,,1,,,,,,,
FB0130-01,KIT: TTC Bundle 2,Kit/Package,Legacy UpSpring : (Old) Adult Supplements,No,Yes,850008560149,.49,,,,,1,,,,,,,
FB0135-01,KIT: Trimester Bundle 3,Kit/Package,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,.98,,,,,1,,,,,,,
FB0140-01,Bundle: Walking Wings / Milkflow Electrolyte Chocolate 16ct / Milkscreen 20,Kit/Package,,No,No,850008560521,1.32,,,,,,,,,,,,
FB0145-01,Bundle: Postnatal Immunity / Immunity Foundation + D3 Drops / Shrinkx Belly Bamboo (S/M)  / Milkscreen 20,Kit/Package,,No,Yes,850008560538,1.22,,,,,,,,,,,,
FB0145-02,Bundle: Postnatal Immunity / Immunity Foundation + D3 Drops / Shrinkx Belly Bamboo (L/XL) / Milkscreen 20,Kit/Package,,No,Yes,850008560545,1.07,,,,,,,,,,,,
FB0150-01,Bundle: Postnatal Immunity / Milkflow Capsules 60 Cnt,Kit/Package,,No,Yes,850008560552,.28,,,,,,,,,,,,
FB0155-01,Bundle: (x3) Prenatal Complete / (x3) Dual Prenatal Immunity / Stomach Settle Morning Sickness LG 28Ct,Kit/Package,,No,Yes,850008560569,1.6,,,,,,,,,,,,
FB0160-01,Bundle: MF Drink Mix Blk Berry Lime / Shaker Bottle,Kit/Package,,No,No,850008560576,.8,,,,,,,,,,,,
FB0165-01,Bundle: Probiotic + Colostrum / Immunity Foundation Drops,Kit/Package,,No,Yes,850008560583,.1,,,,,,,,,,,,
FB0170-01,Bundle: Shrinkx Hips Ultra V.3 (XS/S) Black / C-Panty High Waist (S/M) Black,Kit/Package,,No,No,850008560590,.92,,,,,,,,,,,,
FB0170-02,Bundle: Shrinkx Hips Ultra V.3 (M/L) Black / C- Panty High Waist (L/XL) Black,Kit/Package,,No,No,850008560606,1.05,,,,,,,,,,,,
FB0175-01,"Bundle: Post Baby High Waist (S/M) Black / Shrinkx Belly Bamboo, (S/M) Black",Kit/Package,,No,No,850008560613,1.04,,,,,,,,,,,,
FB0175-02,"Bundle: Post Baby High Waist (L/XL) Black / Shrinkx Belly Bamboo, (L/XL) Black",Kit/Package,,No,No,850008560620,.92,,,,,,,,,,,,
FB0180-01,Bundle: (x3) Dual Prenatal Immunity,Kit/Package,,No,Yes,850008560637,.41,,,,,,,,,,,,
FB0185-01,Bundle: (x3) Prenatal Complete,Kit/Package,,No,Yes,850008560644,1.05,,,,,,,,,,,,
FB0190-01,"Bundle: Milkflow Drink Mix, Fenugreek, Berry / Milkflow Drink Mix, Fenugreek, Chocolate / Dual Postnatal Immunity",Kit/Package,,No,Yes,850008560651,1.29,,,,,,,,,,,,
FB0195-01,Bundle: (x2) Stomach Settle Morning Sickness 28 Ct / Dual Prenatal Immunity,Kit/Package,,No,Yes,850008560668,.41,,,,,,,,,,,,
FB0200-01,KIT: (x3) Stomach Settle LGH 10ct (FG0300-03),Kit/Package,,No,No,,.3,,,,,,,,,,,,
FB0200-02,KIT: (x3) Stomach Settle Morning Sickness LGH 10ct (FG0300-07),Kit/Package,,No,Yes,850008560743,.3,,,,,,,,,,,,
FB0200-03,"KIT: (x2) Stomach Settle, Mint Drops, 28 Ct (FG0300-04)",Kit/Package,Legacy UpSpring,No,No,,.28,,,,,,,,,,,,
FB0200-04,"KIT: Stomach Settle, LG Drops, 28 Ct (FG0300-01), Stomach Settle, Mint Drops, 28 Ct (FG0300-04)",Kit/Package,Legacy UpSpring,No,No,,.28,,,,,,,,,,,,
FB0205-01,Mighty Mom Birth Bundle S/M,Kit/Package,,No,Yes,,2.19,,,,,,,,,,,,
FB0205-02,Mighty Mom Birth Bundle L/XL,Kit/Package,,No,Yes,,2.04,,,,,,,,,,,,
FB0210-01,Fertility Kickstart Bundle - (x3) Fertility (FG0245-01),Kit/Package,,No,Yes,,.41,,,,,,,,,,,,
FB0215-01,"New Mom Healing Bundle S/M - Shrinkx Belly Charcoal Wrap (S/M, FG0220-01), C-Panty High Waist (S/M) Nude (FG0030-01)",Kit/Package,,No,No,,1.05,,,,,,,,,,,,
FB0215-02,"New Mom Healing Bundle L/XL - Shrinkx Belly Charcoal Wrap (L/XL, FG0220-02), C-Panty High Waist (L/XL) Nude (FG0030-02)",Kit/Package,,No,No,,.92,,,,,,,,,,,,
FB0215-03,"New Mom Healing Bundle 1X/2X - Shrinkx Belly Charcoal Wrap (L/XL, FG0220-02), C-Panty High Waist (1X/2X) Nude (FG0030-03)",Kit/Package,,No,No,,.95,,,,,,,,,,,,
FB0220-02,"BUNDLE: (x2) Stomach Settle Mint, 28 ct",Assembly/Bill of Materials,Legacy UpSpring : (Old) Adult Supplements : (Old) Stomach Settle,Yes,No,850008560965,.28,,,,,1,20.9,22,15,9,20850008560969,,US
FB0225-01,"BUNDLE: (x2) Milkflow, Fenugreek Free, 16pk, Drink Mix, Blackberry Lime",Assembly/Bill of Materials,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,Yes,No,859188006843,,,8,4.5,6,1,16.2,24,16,10,10850008560863,,US
FB0225-02,"BUNDLE: (x2) Milkflow, Fenugreek Free, 16pk, Drink Mix, Elderberry Lemonade",Assembly/Bill of Materials,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,Yes,No,850008560507,0,,8,4.5,6,1,16.2,24,16,10,10850008560733,,US
FB0225-03,"BUNDLE: Milkflow, Fenugreek Free, 16pk, Drink Mix, Blackberry Lime + Milkflow, Fenugreek Free, 16pk, Drink Mix, Elderberry Lemonade",Assembly/Bill of Materials,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,Yes,No,850008560941,.5,,8,4.5,6,1,16.2,24,16,10,10850008560948,,US
FG0001-01,Walking Wings - Blue,Inventory Item,Legacy UpSpring : (Old) Walking Wings,No,Yes,855520001019,.571,,,,,6,4.771,18.75,11.25,8.5,10855520001016,6307.90.9889,CN
FG0001-02,Walking Wings - Pink,Inventory Item,Legacy UpSpring : (Old) Walking Wings,No,Yes,855520001040,.571,,,,,6,4.771,18.75,11.25,8.5,10855520001040,6307.90.9889,CN
FG0001-03,Walking Wings - Gray,Inventory Item,Legacy UpSpring : (Old) Walking Wings,No,Yes,855520001453,.571,,,,,6,4.771,18.75,11.25,8.5,10855520001450,6307.90.9889,CN
FG0002-01,Walking Wings - Blue (English/French),Inventory Item,Legacy UpSpring : (Old) Walking Wings,No,Yes,855520001460,.571,,,,,6,4.771,18.75,11.25,8.5,10855520001467,6307.90.9889,CN
FG0005-01,Milkscreen Alcohol 5-Pack,Assembly/Bill of Materials,Legacy UpSpring : (Old) Alcohol,Yes,Yes,855520001286,.055,,2.75,4.5,1.5,6,0.4035,9.375,4.75,3,10855520001283,3822.00.0000,US
FG0005-02,Milkscreen Alcohol 8-Pack,Assembly/Bill of Materials,Legacy UpSpring : (Old) Alcohol,Yes,No,855520001071,.0645,,2.75,4.5,1.5,6,0.602,9.375,4.75,3,10855520001078,3822.00.0000,US
FG0005-03,Milkscreen Alcohol 20-Pack,Assembly/Bill of Materials,Legacy UpSpring : (Old) Alcohol,Yes,No,855520001088,.1015,,2.75,4.5,1.5,6,0.825,9.375,4.75,3,10855520001085,3822.00.0000,US
FG0005-04,Milkscreen Alcohol 5-Pack (3-Up Master Carton),Assembly/Bill of Materials,Legacy UpSpring : (Old) Alcohol,Yes,Yes,855520001286,.055,,2.75,4.5,1.5,3,0.41,9.375,4.75,3,40855520001284,3822.00.0000,
FG0006-01,Milkscreen Alcohol 8-Pack (French/English),Assembly/Bill of Materials,Legacy UpSpring : (Old) Alcohol,Yes,Yes,855520001439,.0645,,2.75,4.5,1.5,6,0.602,9.375,4.75,3,,3822.00.0000,
FG0006-02,Milkscreen Alcohol 20-Pack (French/English),Assembly/Bill of Materials,Legacy UpSpring : (Old) Alcohol,Yes,Yes,855520001446,.1015,,2.75,4.5,1.5,6,0.825,9.375,4.75,3,,3822.00.0000,
FG0007-01,Milkscreen Alcohol 8-Pack (German),Assembly/Bill of Materials,Legacy UpSpring : (Old) Alcohol,Yes,Yes,855520001743,.0645,,2.75,4.5,1.5,6,0.602,9.375,4.75,3,,3822.00.0000,
FG0007-02,Milkscreen Alcohol 20-Pack (German),Assembly/Bill of Materials,Legacy UpSpring : (Old) Alcohol,Yes,Yes,855520001750,.1015,,2.75,4.5,1.5,6,0.825,9.375,4.75,3,,3822.00.0000,
FG0008-01,"Milkscreen Alcohol 30-Pack, No-Tab",Assembly/Bill of Materials,Legacy UpSpring : (Old) Alcohol,Yes,No,859188006379,.1015,,4.5,1.5,2.75,6,0.8,5.25,9.5,3.75,,3822.00.0000,
FG0015-01,Shrinkx Hips Basic - Retail Box,Inventory Item,Legacy UpSpring : (Old) Shrinkx Hips,No,Yes,855520001255,.611,,,,,5,3.63,10.375,7.75,10.875,855520001255,6307.90.9889,
FG0020-01,Shrinkx Hips Ultra (XS/S) Nude - Retail Box,Inventory Item,Legacy UpSpring : (Old) Shrinkx Hips,No,Yes,855520001002,.7,,11.25,2,7,5,4.45,12.5,7.5,11,30855520001003,6307.90.9889,CN
FG0020-02,Shrinkx Hips Ultra (M/L) Nude - Retail Box,Inventory Item,Legacy UpSpring : (Old) Shrinkx Hips,No,Yes,855520001248,.788,,11.25,2,7,5,5.019,12.5,7.5,11,30855520001249,6307.90.9889,CN
FG0020-03,Shrinkx Hips Ultra V.3 (XS/S) Black - Retail Box,Inventory Item,Legacy UpSpring : (Old) Shrinkx Hips,No,Yes,855520001552,.673,,11.25,2,7,5,4.45,12.5,7.5,11,10855520001559,6307.90.9889,CN
FG0020-04,Shrinkx Hips Ultra V.3 (M/L) Black - Retail Box,Inventory Item,Legacy UpSpring : (Old) Shrinkx Hips,No,Yes,855520001576,.788,,11.25,2,7,5,5.019,12.5,7.5,11,10855520001573,6307.90.9889,CN
FG0022-53-IG,"Shrinkx Hips Ultra (XS/S), Black, Poly Bag, Italian / German (RB Amazon EU)",Assembly/Bill of Materials,Legacy UpSpring : (Old) Shrinkx Hips,No,Yes,1230000073004,.579,,11.75,1.25,8.25,1,0.579,11.75,8.25,1.25,,6307.90.9889,CN
FG0022-53-ML,"Shrinkx Hips Ultra (XS/S), Black, Poly Bag, Multi-Language (RB Amazon EU)",Assembly/Bill of Materials,Legacy UpSpring : (Old) Shrinkx Hips,No,Yes,5065009337194,.579,,11.75,1.25,8.25,1,0.579,11.75,8.25,1.25,,6307.90.9889,CN
FG0022-54-IG,"Shrinkx Hips Ultra (M/L), Black, Poly Bag, Italian / German (RB Amazon EU)",Assembly/Bill of Materials,Legacy UpSpring : (Old) Shrinkx Hips,No,Yes,1230000073011,.579,,11.75,1.25,8.25,1,0.579,11.75,8.25,1.25,,6307.90.9889,CN
FG0022-54-ML,"Shrinkx Hips Ultra (M/L), Black, Poly Bag, Multi-Language (RB Amazon EU)",Assembly/Bill of Materials,Legacy UpSpring : (Old) Shrinkx Hips,No,Yes,5065009337200,.579,,11.75,1.25,8.25,1,0.579,11.75,8.25,1.25,,6307.90.9889,CN
FG0025-01,C-Panty Classic Waist (S) Nude,Assembly/Bill of Materials,Legacy UpSpring : (Old) C-Panty,No,Yes,896785002007,.159,,6.75,1,4.5,1,0.159,8,6,4,,6212.90.0030,CN
FG0025-02,C-Panty Classic Waist (M) Nude,Assembly/Bill of Materials,Legacy UpSpring : (Old) C-Panty,No,Yes,896785002021,.17,,6.75,1,4.5,1,0.17,8,6,4,,6212.90.0030,CN
FG0025-03,C-Panty Classic Waist (L) Nude,Assembly/Bill of Materials,Legacy UpSpring : (Old) C-Panty,No,Yes,896785002045,.179,,6.75,1,4.5,1,0.179,8,6,4,,6212.90.0030,CN
FG0025-04,C-Panty Classic Waist (S) Black,Assembly/Bill of Materials,Legacy UpSpring : (Old) C-Panty,No,Yes,896785002144,.159,,6.75,1,4.5,1,0.159,8,6,4,,6212.90.0030,CN
FG0025-05,C-Panty Classic Waist (M) Black,Assembly/Bill of Materials,Legacy UpSpring : (Old) C-Panty,No,Yes,896785002137,.17,,6.75,1,4.5,1,0.17,8,6,4,,6212.90.0030,CN
FG0025-06,C-Panty Classic Waist (L) Black,Assembly/Bill of Materials,Legacy UpSpring : (Old) C-Panty,No,Yes,896785002151,.179,,6.75,1,4.5,1,0.179,8,6,4,,6212.90.0030,CN
FG0030-01,C-Panty High Waist (S/M) Nude,Assembly/Bill of Materials,Legacy UpSpring : (Old) C-Panty,No,No,896785002090,.248,,6.75,1,4.5,3,0.75,8,6,4,10896785002097,6212.90.0030,CN
FG0030-02,C-Panty High Waist (L/XL) Nude,Assembly/Bill of Materials,Legacy UpSpring : (Old) C-Panty,No,Yes,896785002113,.266,,6.75,1,4.5,3,0.266,8,6,4,10896785002110,6212.90.0030,CN
FG0030-03,C-Panty High Waist (1X/2X) Nude,Assembly/Bill of Materials,Legacy UpSpring : (Old) C-Panty,No,No,896785002397,.298,,6.75,1.5,4.75,3,0.298,8,6,4,10896785002394,6212.90.0030,CN
FG0030-04,C-Panty High Waist (S/M) Black,Assembly/Bill of Materials,Legacy UpSpring : (Old) C-Panty,No,No,896785002106,.248,,6.75,1,4.5,3,0.248,8,6,4,10896785002103,6212.90.0030,CN
FG0030-05,C-Panty High Waist (L/XL) Black,Assembly/Bill of Materials,Legacy UpSpring : (Old) C-Panty,No,No,896785002120,.266,,6.75,1,4.5,3,0.266,8,6,4,10896785002127,6212.90.0030,CN
FG0030-06,C-Panty High Waist (1X/2X) Black,Assembly/Bill of Materials,Legacy UpSpring : (Old) C-Panty,No,No,896785002403,.298,,6.75,1.5,4.75,3,0.298,8,6,4,10896785002400,6212.90.0030,CN
